Tarea,Código BIM,Unidad,Cantidad Ejecutada,Cantidad Programada,% Completado,Comienzo Real,Fin Real,Duración Real,% Financiero Ejecutado,Desviación (%),% Programado,Variación de Finalización,Costo Previsto,Costo Real
          Canoas,,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-03 19:00:00,"2,5 days",1096518,1096518.0,100,0 days,1096518,1096518
            Retiro de canoas,,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-01 19:00:00,"0,5 days",67939,67939.0,100,0 days,67939,67939
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,100,2024-10-03 09:00:00,2024-10-03 19:00:00,1 day,1028579,1028579.0,100,0 days,1028579,1028579
          Ruanas,,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-07 13:00:00,4 days,1303288,1303288.0,100,0 days,1303288,1303288
            Retiro de ruanas,,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-02 13:00:00,1 day,93645,93645.0,100,0 days,93645,93645
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,100,2024-10-04 09:00:00,2024-10-07 13:00:00,"1,5 days",1209643,1209643.0,100,0 days,1209643,1209643
          Mantenimiento,,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-02 19:00:00,"1,5 days",5453103,5453103.0,100,0 days,5453103,5453103
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,100,2024-10-01 15:00:00,2024-10-02 19:00:00,"1,5 days",5453103,5453103.0,100,0 days,5453103,5453103
          Retiro de bajantes,,,0 hrs,0 hrs,100,2024-10-02 09:00:00,2024-10-02 13:00:00,"0,5 days",25656,25656.0,100,0 days,25656,25656
      Baños Niños,,,0 hrs,0 hrs,100,2024-10-07 15:00:00,2024-10-11 19:00:00,"4,5 days",8286212,8286212.0,100,0 days,8286212,8286212
        Cubierta,,,0 hrs,0 hrs,100,2024-10-07 15:00:00,2024-10-11 19:00:00,"4,5 days",8286212,8286212.0,100,0 days,8286212,8286212
          Canoa,,,0 hrs,0 hrs,100,2024-10-07 15:00:00,2024-10-09 19:00:00,"2,5 days",1150058,1150058.0,100,0 days,1150058,1150058
            Retiro de canoas,,,0 hrs,0 hrs,100,2024-10-07 15:00:00,2024-10-07 19:00:00,"0,5 days",70893,70893.0,100,0 days,70893,70893
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,100,2024-10-09 09:00:00,2024-10-09 19:00:00,1 day,1079165,1079165.0,100,0 days,1079165,1079165
          Ruanas,,,0 hrs,0 hrs,100,2024-10-07 15:00:00,2024-10-11 19:00:00,"4,5 days",1592478,1592478.0,100,0 days,1592478,1592478
            Retiro de ruanas,,,0 hrs,0 hrs,100,2024-10-07 15:00:00,2024-10-08 19:00:00,"1,5 days",114424,114424.0,100,0 days,114424,114424
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,100,2024-10-10 09:00:00,2024-10-11 19:00:00,2 days,1478054,1478054.0,100,0 days,1478054,1478054
          Mantenimiento,,,0 hrs,0 hrs,100,2024-10-07 15:00:00,2024-10-08 19:00:00,"1,5 days",5518020,5518020.0,100,0 days,5518020,5518020
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,100,2024-10-07 15:00:00,2024-10-08 19:00:00,"1,5 days",5518020,5518020.0,100,0 days,5518020,5518020
          Retiro de bajantes,,,0 hrs,0 hrs,100,2024-10-08 09:00:00,2024-10-08 13:00:00,"0,5 days",25656,25656.0,100,0 days,25656,25656
      Circulación,,,0 hrs,0 hrs,100,2024-10-14 09:00:00,2024-10-22 13:00:00,"6,5 days",16438520,16438520.0,100,0 days,16438520,16438520
        Cubierta,,,0 hrs,0 hrs,100,2024-10-14 09:00:00,2024-10-22 13:00:00,"6,5 days",16438520,16438520.0,100,0 days,16438520,16438520
          Canoas,,,0 hrs,0 hrs,100,2024-10-14 09:00:00,2024-10-18 13:00:00,"4,5 days",1016208,1016208.0,100,0 days,1016208,1016208
            Retiro de canoas,,,0 hrs,0 hrs,100,2024-10-14 09:00:00,2024-10-14 13:00:00,"0,5 days",63508,63508.0,100,0 days,63508,63508
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,100,2024-10-17 15:00:00,2024-10-18 13:00:00,1 day,952700,952700.0,100,0 days,952700,952700
          Ruanas,,,0 hrs,0 hrs,100,2024-10-14 09:00:00,2024-10-22 13:00:00,"6,5 days",2919673,2919673.0,100,0 days,2919673,2919673
            Retiro de ruanas,,,0 hrs,0 hrs,100,2024-10-14 09:00:00,2024-10-15 19:00:00,2 days,209786,209786.0,100,0 days,209786,209786
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,100,2024-10-18 15:00:00,2024-10-22 13:00:00,2 days,2709887,2709887.0,100,0 days,2709887,2709887
          Mantenimiento,,,0 hrs,0 hrs,100,2024-10-14 09:00:00,2024-10-17 13:00:00,"3,5 days",12457742,12457742.0,100,0 days,12457742,12457742
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,100,2024-10-14 09:00:00,2024-10-17 13:00:00,"3,5 days",12457742,12457742.0,100,0 days,12457742,12457742
          Retiro de bajantes,,,0 hrs,0 hrs,100,2024-10-14 15:00:00,2024-10-14 19:00:00,"0,5 days",44897,44897.0,100,0 days,44897,44897
  Bloque 4,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"19,5 days",46859083,46859083.0,0,0 days,46859083,0
    Piso 1,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"19,5 days",46859083,46859083.0,0,0 days,46859083,0
      Aula 1,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",15287674,15287674.0,0,0 days,15287674,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",15287674,15287674.0,0,0 days,15287674,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,2454704,2454704.0,0,0 days,2454704,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,161478,161478.0,0,0 days,161478,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",2293226,2293226.0,0,0 days,2293226,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",1897094,1897094.0,0,0 days,1897094,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",136312,136312.0,0,0 days,136312,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",1760782,1760782.0,0,0 days,1760782,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",10884565,10884565.0,0,0 days,10884565,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",10884565,10884565.0,0,0 days,10884565,0
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",51311,51311.0,0,0 days,51311,0
      Aula 2,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",15456292,15456292.0,0,0 days,15456292,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",15456292,15456292.0,0,0 days,15456292,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,2623324,2623324.0,0,0 days,2623324,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,161479,161479.0,0,0 days,161479,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",2461845,2461845.0,0,0 days,2461845,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",1897092,1897092.0,0,0 days,1897092,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",136310,136310.0,0,0 days,136310,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",1760782,1760782.0,0,0 days,1760782,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",10884565,10884565.0,0,0 days,10884565,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",10884565,10884565.0,0,0 days,10884565,0
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",51311,51311.0,0,0 days,51311,0
      Circulación,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",16115117,16115117.0,0,0 days,16115117,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",16115117,16115117.0,0,0 days,16115117,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,2177158,2177158.0,0,0 days,2177158,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,136862,136862.0,0,0 days,136862,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",2040296,2040296.0,0,0 days,2040296,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"6,5 days",2151581,2151581.0,0,0 days,2151581,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",154597,154597.0,0,0 days,154597,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",1996984,1996984.0,0,0 days,1996984,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",11741481,11741481.0,0,0 days,11741481,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",11741481,11741481.0,0,0 days,11741481,0
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",44897,44897.0,0,0 days,44897,0
  Bloque 5,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"30,5 days",96397426,96397426.0,0,0 days,96397426,0
    Piso 1,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"30,5 days",96397426,96397426.0,0,0 days,96397426,0
      Cocina,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,9 days,18551991,18551991.0,0,0 days,18551991,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,12719036,12719036.0,0,0 days,12719036,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,669247,669247.0,0,0 days,669247,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",36923,36923.0,0,0 days,36923,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",632324,632324.0,0,0 days,632324,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,1176043,1176043.0,0,0 days,1176043,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,84502,84502.0,0,0 days,84502,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,1091541,1091541.0,0,0 days,1091541,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",10873746,10873746.0,0,0 days,10873746,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",10873746,10873746.0,0,0 days,10873746,0
        Muros,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,4868540,4868540.0,0,0 days,4868540,0
          Pintura,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,4868540,4868540.0,0,0 days,4868540,0
"            Retiro de pintura base aceite con removedor, grata metalica hasta encontrar superficie original. Para cocina",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,595466,595466.0,0,0 days,595466,0
"            Pintura a base de  agua, vinilo de primera calidad sobre pintura existente, tres manos, incluye resanes, con estuco plastico tipo plastestuco o similar diluido en agua proporciòn 1:2, adecuación de la superficie a intervenir, (rasquetiada). En muro",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,2137897,2137897.0,0,0 days,2137897,0
"            Suministro y aplicación de PINTURA EPOXICA EN MUROS Y CIELOS (dos componentes proporción 1:3, no tóxica) tipo epoxiconstrucción de pintuco o equivalente, de primera calidad, semimate, sobre estuco plástico, 2 a 3 manos o las necesarias para lograr una sue",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,2135177,2135177.0,0,0 days,2135177,0
        Sistema Eléctrico,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",964415,964415.0,0,0 days,964415,0
"          Suministro, transporte e instalación de luminaria industrial tipo hermética, con tubo LED difusor en policarbonato, 2x18W T8. Chasis en policarbonato resistente al impacto, 6500°K, 3600lm, IRC=70, 40.000 Horas - L70, IP=65, IK=06, 36W, 100-240V 50/60Hz. I",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",964415,964415.0,0,0 days,964415,0
      Cuarto de Alimento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,17055376,17055376.0,0,0 days,17055376,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,13730580,13730580.0,0,0 days,13730580,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"4,5 days",578968,578968.0,0,0 days,578968,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",39385,39385.0,0,0 days,39385,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,539583,539583.0,0,0 days,539583,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,6 days,925411,925411.0,0,0 days,925411,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,66493,66493.0,0,0 days,66493,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",858918,858918.0,0,0 days,858918,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",12226201,12226201.0,0,0 days,12226201,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",12226201,12226201.0,0,0 days,12226201,0
        Muros,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,3324796,3324796.0,0,0 days,3324796,0
          Pintura,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,3324796,3324796.0,0,0 days,3324796,0
"            Retiro de pintura base aceite con removedor, grata metalica hasta encontrar superficie original. Para cocina",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",25656,25656.0,0,0 days,25656,0
"            Pintura a base de  agua, vinilo de primera calidad sobre pintura existente, tres manos, incluye resanes, con estuco plastico tipo plastestuco o similar diluido en agua proporciòn 1:2, adecuación de la superficie a intervenir, (rasquetiada). En muro",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,2668971,2668971.0,0,0 days,2668971,0
"            Suministro y aplicación de PINTURA EPOXICA EN MUROS Y CIELOS (dos componentes proporción 1:3, no tóxica) tipo epoxiconstrucción de pintuco o equivalente, de primera calidad, semimate, sobre estuco plástico, 2 a 3 manos o las necesarias para lograr una sue",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",630169,630169.0,0,0 days,630169,0
      Baño de Cambio,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",12356465,12356465.0,0,0 days,12356465,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",12356465,12356465.0,0,0 days,12356465,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",918051,918051.0,0,0 days,918051,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",58092,58092.0,0,0 days,58092,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",859959,859959.0,0,0 days,859959,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"3,5 days",917700,917700.0,0,0 days,917700,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,65940,65940.0,0,0 days,65940,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,851760,851760.0,0,0 days,851760,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,10495058,10495058.0,0,0 days,10495058,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,3 days,10495058,10495058.0,0,0 days,10495058,0
          Retiro de bajantes,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",25656,25656.0,0,0 days,25656,0
      Comedor,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,9 days,24137291,24137291.0,0,0 days,24137291,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"7,5 days",20225021,20225021.0,0,0 days,20225021,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"5,5 days",2641295,2641295.0,0,0 days,2641295,0
            Retiro de canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,145725,145725.0,0,0 days,145725,0
"            Suministro y colocación de canoa en U en lamina galvanizada calibre 24 moldurada, grafada y soldada en las uniones, desarrollo 0.70 m., incluye:embudos, boquillas, tapas, ganchos de fijación, pintura anticorrosiva verde y de acabado color a definir por in",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,1 day,2495570,2495570.0,0,0 days,2495570,0
          Ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"7,5 days",2760809,2760809.0,0,0 days,2760809,0
            Retiro de ruanas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",198371,198371.0,0,0 days,198371,0
"            Suministro y colocación de ruanas en lámina galvanizada calibre 24, incluye mortero, pintura anticorrosiva y a base de aceite, desarrollo 33 cm., pestaña de 5 cm. Canchada de muro, faja en revoque impermeabilizado con filete y todo lo necesario para su co",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,2 days,2562438,2562438.0,0,0 days,2562438,0
          Mantenimiento,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"4,5 days",14822917,14822917.0,0,0 days,14822917,0
"            Reparación de techo en teja de barro. Incluye: retiro de manto existente si es necesario, retiro de teja existente, reistalación de la misma, suministro y colocación de teja (del 20%), tablilla (del 100 %) , impermeabilización con manto asfaltico imperpol",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"4,5 days",14822917,14822917.0,0,0 days,14822917,0
        Muros,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",3912270,3912270.0,0,0 days,3912270,0
          Pintura,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",2754972,2754972.0,0,0 days,2754972,0
"            Suministro y aplicación de PINTURA EPOXICA EN MUROS Y CIELOS (dos componentes proporción 1:3, no tóxica) tipo epoxiconstrucción de pintuco o equivalente, de primera calidad, semimate, sobre estuco plástico, 2 a 3 manos o las necesarias para lograr una sue",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"1,5 days",2754972,2754972.0,0,0 days,2754972,0
          Sistema Eléctrico,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",1157298,1157298.0,0,0 days,1157298,0
"            Suministro, transporte e instalación de luminaria industrial tipo hermética, con tubo LED difusor en policarbonato, 2x18W T8. Chasis en policarbonato resistente al impacto, 6500°K, 3600lm, IRC=70, 40.000 Horas - L70, IP=65, IK=06, 36W, 100-240V 50/60Hz. I",,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"0,5 days",1157298,1157298.0,0,0 days,1157298,0
      Biblioteca,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,"5,5 days",18281905,18281905.0,0,0 days,18281905,0
        Cubierta,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,5 days,17317490,17317490.0,0,0 days,17317490,0
          Canoas,,,0 hrs,0 hrs,0,0001-01-01 00:00:00,0001-01-01 00:00:00,4 days,5040612,5040612.0,0,0 days,5040612,0
