Tarea,Inicio,Fin
  FASE 4,2024-10-18 07:00:00,2024-10-31 17:00:00
    Pruebas y ensayos,2024-10-18 07:00:00,2024-10-22 17:00:00
    Construcción de carpeta asfaltica,2024-10-21 07:00:00,2024-10-25 17:00:00
    Señalización y demarcación vial,2024-10-26 07:00:00,2024-10-31 17:00:00
ACTIVIDADES TRANSVERSALES,2024-07-22 07:00:00,2024-12-17 17:00:00
  INVERSIÓN GESTIÓN SOCIAL Y COMUNICACIONES,2024-07-22 07:00:00,2024-12-17 17:00:00
  INVERSIÓN GESTIÓN AMBIENTAL,2024-07-22 07:00:00,2024-12-17 17:00:00
  INVERSIÓN SEGURIDAD Y SALUD EN EL TRABAJO,2024-07-22 07:00:00,2024-12-17 17:00:00
  PRESUPUESTO PLAN DE MANEJO DE TRANSITO,2024-07-22 07:00:00,2024-12-17 17:00:00
  POLIZAS,2024-07-22 07:00:00,2024-07-22 07:00:00
FIN DEL PROYECTO,2024-12-17 17:00:00,2024-12-17 17:00:00
