INSTITUCIÓN/SEDE/FRENTE DE TRABAJO;CLIENTE;CONTRATO INTERADMINISTRATIVO;PROYECTO;SUBPROYECTO;AÑO CTO;CONTRATO;COMUNA;TIPOLOGÍA;ESTADO;F_INICIO;"PLAZO(DÍAS)";"PRÓRROGAS(DÍAS)";"SUSPENSIONES(DÍAS)";TIEMPO TOTAL;F_FINAL;PLAZO REMANENTE;VALOR INICIAL OBRA;ADICIONES;BALANCES O REDISTRIBUCIONES;VALOR ACTUAL DEL CONTRATO;VALOR ACTUAL REAJUSTES ;VALOR ACTUAL IMPREVISTOS; VALOR ACTUAL CONTINGENCIAS ;VALOR TOTAL CONTRATO+AJUSTES+IMPREVISTOS; PAGADO_CONTRATO ; PAGADO_REAJUSTES ; PAGADO_IMPREV ;" DESCUENTOS(Informativo) ";VALOR PAGADO; FECHA ÚLTIMO PAGO ; %PAGADO ;%PRG; %FISICO_PRG ;%EJEC; %FISICO_EJEC ;%DESVÍO;%PRG_$;%EJEC_$;%DESVÍO_$;SUPERVISOR;APOYO;CONTRATO/PROYECTO
INSTITUCION EDUCATIVA PABLO NERUDA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-131;02 SANTA CRUZ;Obra;En ejecución;11/07/2024;90;68;;158;15/12/2024;13,00; $ 804.368.572 ; $ - ;; $ 804.368.572 ; $ 24.113.605 ; $ 11.299.880 ;; $ 839.782.057 ; $ 174.601.061 ;;;; $ 174.601.061 ;31/10/2024;20,79%;99,00%; $ 831.384.236 ;56,00%; $ 470.277.952 ;-43,00%;99,00%;56,00%;-43,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;95806 DE 2022 EDUCACIÓN
INSTITUCION EDUCATIVA ENRIQUE OLAYA HERRERA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-131;03 MANRIQUE;Obra;En ejecución;11/07/2024;90;90;;180;06/01/2025;35,00; $ 312.259.386 ; $ - ;; $ 312.259.386 ; $ 9.621.607 ; $ 4.386.685 ;; $ 326.267.678 ; $ 300.620.061 ;;;; $ 300.620.061 ;31/10/2024;92,14%;99,00%; $ 323.005.001 ;93,00%; $ 303.428.941 ;-6,00%;99,00%;93,00%;-6,00%;ELIANA GÓMEZ ORREGO;JHOANA GOMEZ ARANGO;95806 DE 2022 EDUCACIÓN
INSTITUCIÓN EDUCATIVA ANTONIO DERKA - SANTO DOMINGO;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Integrales;2024;3302-134;01 POPULAR;Obra;En ejecución;24/07/2024;150;;;150;20/12/2024;18,00; $ 1.148.779.825 ; $ - ;; $ 1.148.779.825 ;;;; $ 1.148.779.825 ; $ 190.995.989 ;;;; $ 190.995.989 ;;16,63%;37,00%;42504853525,00%;18,00%;20678036850,00%;-19,00%;29,00%;38,00%;9,00%;CLAUDIA ANDREA BORREGO GARCÍA;CESAR AUGUSTO TORRES REAL;95806 DE 2022 EDUCACIÓN
INSTITUCIÓN EDUCATIVA SOR JUAN INÉS DE LA CRUZ;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Integrales;2024;3302-134;05 CASTILLA;Obra;En ejecución;24/07/2024;150;;;150;20/12/2024;18,00; $ 1.187.145.432 ; $ - ;; $ 1.187.145.432 ;;;; $ 1.187.145.432 ; $ 121.819.716 ;;;; $ 121.819.716 ;;10,26%;28,00%; $ 332.400.721 ;29,00%; $ 344.272.175 ;1,00%;28,00%;35,00%;7,00%;CLAUDIA ANDREA BORREGO GARCÍA;CESAR AUGUSTO TORRES REAL;95806 DE 2022 EDUCACIÓN
SECCIÓN ESCUELA MUNICIPAL CASTILLA;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Integrales;2024;3302-134;05 CASTILLA;Obra;En ejecución;24/07/2024;150;;;150;20/12/2024;18,00; $ 2.016.051.126 ; $ - ;; $ 2.016.051.126 ;;;; $ 2.016.051.126 ; $ 252.586.966 ;;;; $ 252.586.966 ;;12,53%;29,00%; $ 584.654.827 ;32,00%; $ 645.136.360 ;3,00%;28,00%;29,00%;1,00%;CLAUDIA ANDREA BORREGO GARCÍA;CESAR AUGUSTO TORRES REAL;95806 DE 2022 EDUCACIÓN
CENTRO EDUCATIVO YOLOMBO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-147;60 SAN CRISTOBAL;Obra;En ejecución;01/08/2024;90;22;;112;20/11/2024;0,00; $ 308.135.901 ;;; $ 308.135.901 ; $ 9.349.896 ; $ 4.142.794 ;; $ 321.628.591 ; $ 125.140.085 ;;;; $ 125.140.085 ;30/10/2024;38,91%;0,00%; $ - ;11,20%; $ 36.022.402 ;11,20%;0,00%;8,00%;8,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;
INSTITUCION EDUCATIVA PRESBITERO CARLOS ALBERTO CALDERÓN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-147;60 SAN CRISTOBAL;Obra;En ejecución;01/08/2024;90;22;;112;20/11/2024;0,00; $ 188.066.254 ;;; $ 188.066.254 ; $ 5.706.573 ; $ 2.528.494 ;; $ 196.301.321 ; $ 21.834.600 ;;;; $ 21.834.600 ;30/10/2024;11,12%;0,00%; $ - ;2,42%; $ 4.750.492 ;2,42%;0,00%;0,00%;0,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;
INSTITUCION EDUCATIVA NICANOR RESTREPO SANTAMARIA  (ANTES LA HUERTA);ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-147;60 SAN CRISTOBAL;Obra;En ejecución;01/08/2024;90;22;;112;20/11/2024;0,00; $ 173.247.009 ;;; $ 173.247.009 ; $ 5.256.906 ; $ 2.329.253 ;; $ 180.833.169 ; $ 29.565.513 ;;;; $ 29.565.513 ;30/10/2024;16,35%;0,00%; $ - ;1,70%; $ 3.074.164 ;1,70%;0,00%;2,00%;2,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;
CENTRO EDUCATIVO LA SUIZA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-147;50 PALMITAS;Obra;En ejecución;01/08/2024;90;22;;112;20/11/2024;0,00; $ 357.646.516 ;;; $ 357.646.516 ; $ 10.852.218 ; $ 4.808.449 ;; $ 373.307.182 ; $ 95.451.807 ;;;; $ 95.451.807 ;30/10/2024;25,57%;0,00%; $ - ;4,44%; $ 16.574.839 ;4,44%;0,00%;3,00%;3,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;
CENTRO EDUCATIVO LA POTRERA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-147;50 PALMITAS;Obra;En ejecución;01/08/2024;90;22;;112;20/11/2024;0,00; $ 106.450.820 ;;; $ 106.450.820 ; $ 3.230.082 ; $ 1.431.199 ;; $ 111.112.100 ; $ 13.704.158 ;;;; $ 13.704.158 ;30/10/2024;12,33%;0,00%; $ - ;1,00%; $ 1.111.121 ;1,00%;0,00%;2,00%;2,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;
CENTRO EDUCATIVO LEON ARANGO PAUCAR;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-147;50 PALMITAS;Obra;En ejecución;01/08/2024;90;22;;112;20/11/2024;0,00; $ 155.980.942 ;;; $ 155.980.942 ; $ 4.732.995 ; $ 2.097.116 ;; $ 162.811.053 ; $ 51.572.236 ;;;; $ 51.572.236 ;30/10/2024;31,68%;0,00%; $ - ;3,03%; $ 4.933.175 ;3,03%;0,00%;0,00%;0,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;
INSTITUCION EDUCATIVA HECTOR ROGELIO MONTOYA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-147;50 PALMITAS;Obra;En ejecución;01/08/2024;90;22;;112;20/11/2024;0,00; $ 167.120.250 ;;; $ 167.120.250 ; $ 5.071.000 ; $ 2.246.881 ;; $ 174.438.130 ; $ 24.403.525 ;;;; $ 24.403.525 ;30/10/2024;13,99%;0,00%; $ - ;1,12%; $ 1.953.707 ;1,12%;0,00%;0,00%;0,00%;YISLEN RINCÓN;ADRIANA MARIA LONDOÑO BENJUMEA;
INSTITUCION EDUCATIVA ALVERNIA ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-151;04 ARANJUEZ;Obra;En ejecución;11/07/2024;90;60;;150;07/12/2024;5,00; $ 41.637.916 ;;; $ 41.637.916 ; $ 1.267.969 ; $ 564.091 ;; $ 43.469.976 ; $ 2.006.220 ;;;; $ 2.006.220 ;02/09/2024;4,62%;76,00%; $ 33.037.182 ;60,00%; $ 26.081.986 ;-16,00%;76,00%;76,00%;0,00%;ELIANA GÓMEZ ORREGO;HERNÁN DARÍO ACEVEDO DUQUE;
INSTITUCION EDUCATIVA SAN BENITO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-151;010 LA CANDELARIA;Obra;En ejecución;11/07/2024;90;60;;150;07/12/2024;5,00; $ 169.092.036 ;;; $ 169.092.036 ; $ 5.149.236 ; $ 2.290.781 ;; $ 176.532.053 ; $ 66.935.081 ;;;; $ 66.935.081 ;02/09/2024;37,92%;89,00%; $ 157.113.527 ;80,00%; $ 141.225.643 ;-9,00%;89,00%;89,00%;0,00%;ELIANA GÓMEZ ORREGO;HERNÁN DARÍO ACEVEDO DUQUE;
SECCION ESCUELA DARIO LONDOÑO CARDONA ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-151;010 LA CANDELARIA;Obra;En ejecución;11/07/2024;90;60;;150;07/12/2024;5,00; $ 211.100.307 ;;; $ 211.100.307 ; $ 6.428.484 ; $ 2.859.890 ;; $ 220.388.681 ; $ 95.749.514 ;;;; $ 95.749.514 ;02/09/2024;43,45%;92,00%; $ 202.757.586 ;95,00%; $ 209.369.247 ;3,00%;92,00%;92,00%;0,00%;ELIANA GÓMEZ ORREGO;HERNÁN DARÍO ACEVEDO DUQUE;
INSTITUCION EDUCATIVA SAN AGUSTIN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-151;04 ARANJUEZ;Obra;En ejecución;11/07/2024;90;60;;150;07/12/2024;5,00; $ 310.732.281 ;;; $ 310.732.281 ; $ 9.462.503 ; $ 4.209.658 ;; $ 324.404.442 ; $ 99.311.957 ;;;; $ 99.311.957 ;02/09/2024;30,61%;62,00%; $ 201.130.754 ;65,00%; $ 210.862.887 ;3,00%;62,00%;62,00%;0,00%;ELIANA GÓMEZ ORREGO;HERNÁN DARÍO ACEVEDO DUQUE;
SECCION ESCUELA EDUCATIVA EPIFANIO MEJIA ;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-151;04 ARANJUEZ;Obra;En ejecución;11/07/2024;90;60;;150;07/12/2024;5,00; $ 413.688.620 ; $ 80.000.000 ;; $ 493.688.620 ; $ 12.597.758 ; $ 5.604.463 ;; $ 511.890.841 ; $ 341.549.446 ;;;; $ 341.549.446 ;02/09/2024;66,72%;71,00%; $ 363.442.497 ;49,00%; $ 250.826.512 ;-22,00%;71,00%;71,00%;0,00%;ELIANA GÓMEZ ORREGO;HERNÁN DARÍO ACEVEDO DUQUE;
INSTITUCION EDUCATIVA SANTO ANGEL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;15 GUAYABAL;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 50.074.467 ; $ - ; $ - ; $ 50.074.467 ; $ 2.668.152 ; $ 727.611 ;; $ 53.470.230 ;; $ - ; $ - ;; $ - ;;0,00%;62,00%; $ 33.151.543 ;90,00%; $ 48.123.207 ;28,00%;62,00%;74,80%;12,80%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
INSTITUCION EDUCATIVA LA PRESENTACION;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;15 GUAYABAL;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 48.119.943 ; $ - ; $ - ; $ 48.119.943 ; $ 2.564.008 ; $ 699.211 ;; $ 51.383.162 ;; $ - ; $ - ;; $ - ;;0,00%;100,00%; $ 51.383.162 ;90,00%; $ 46.244.846 ;-10,00%;100,00%;91,60%;-8,40%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
INSTITUCION EDUCATIVA SANTOS ANGELES CUSTODIOS;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;15 GUAYABAL;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 56.873.412 ; $ - ; $ - ; $ 56.873.412 ; $ 3.030.425 ; $ 826.404 ;; $ 60.730.241 ;; $ - ; $ - ;; $ - ;;0,00%;100,00%; $ 60.730.241 ;95,00%; $ 57.693.729 ;-5,00%;100,00%;62,90%;-37,10%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
INSTITUCION EDUCATIVA JUAN MARIA CESPEDES;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;16 BELÉN;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 350.850.308 ; $ - ; $ - ; $ 350.850.308 ; $ 18.694.598 ; $ 5.098.061 ;; $ 374.642.967 ;; $ - ; $ - ;; $ - ;;0,00%;81,00%; $ 303.460.803 ;61,00%; $ 228.532.210 ;-20,00%;81,00%;43,90%;-37,10%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
INSTITUCION EDUCATIVA JOSE MARIA BERNAL;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;16 BELÉN;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 279.295.081 ; $ - ; $ - ; $ 279.295.081 ; $ 14.881.872 ; $ 4.058.321 ;; $ 298.235.274 ;; $ - ; $ - ;; $ - ;;0,00%;60,00%; $ 178.941.164 ;0,00%; $ - ;-60,00%;60,00%;0,00%;-60,00%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
SECCION ESCUELA CARLOS FRANCO;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;16 BELÉN;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 347.558.981 ; $ - ; $ - ; $ 347.558.981 ; $ 18.519.224 ; $ 5.050.236 ;; $ 371.128.441 ;; $ - ; $ - ;; $ - ;;0,00%;65,00%; $ 241.233.486 ;68,00%; $ 252.367.340 ;3,00%;65,00%;56,60%;-8,40%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
SECCION ESCUELA GUILLERMO VALENCIA;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;16 BELÉN;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 534.309.471 ; $ - ; $ - ; $ 534.309.471 ; $ 28.469.979 ; $ 7.763.830 ;; $ 570.543.280 ;; $ - ; $ - ;; $ - ;;0,00%;48,00%; $ 273.860.774 ;36,00%; $ 205.395.581 ;-12,00%;48,00%;34,20%;-13,80%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
INSTITUCION EDUCATIVA HORACIO MUÑOZ SUESCUN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;16 BELÉN;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 622.386.857 ; $ - ; $ - ; $ 622.386.857 ; $ 33.163.067 ; $ 9.043.646 ;; $ 664.593.570 ;; $ - ; $ - ;; $ - ;;0,00%;61,00%; $ 405.402.078 ;26,00%; $ 172.794.328 ;-35,00%;61,00%;24,10%;-36,90%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
INSTITUCION EDUCATIVA ALCALDIA DE MEDELLIN;ALCALDÍA;95806;Educación - Vigencias futuras;Generales;2024;3302-153;16 BELÉN;Obra;En ejecución;03/07/2024;150;;;150;29/11/2024;0,00; $ 545.955.107 ; $ - ; $ - ; $ 545.955.107 ; $ 29.090.501 ; $ 7.933.048 ;; $ 582.978.656 ;; $ - ; $ - ;; $ - ;;0,00%;62,00%; $ 361.446.767 ;57,00%; $ 332.297.834 ;-5,00%;62,00%;42,20%;-19,80%;YISLEN RINCÓN;JHONATAN ARIAS QUINTERO;
INSTITUCIÓN EDUCATIVA CORVIDE;ALCALDÍA;95806;Educación - Vigencias futuras;Integrales;2024;3302-154;80 SAN ANTONIO DE PRADO;Obra;En ejecución;16/07/2024;120;;17;137;29/11/2024;0,00; $ 970.887.870 ; $ - ;; $ 970.887.870 ; $ 39.266.686 ; $ 14.423.359 ;; $ 1.024.577.915 ; $ 11.908.009 ;;;; $ 11.908.009 ;16/08/2024;1,16%;69,00%; $ 706.958.762 ;66,00%; $ 676.221.424 ;-3,00%;64,00%;37,00%;-27,00%;JOSE GILMER TAMARA;ANGÉLICA MARÍA CORRALES;95806 DE 2022 EDUCACIÓN
SECCIÓN ESCUELA JULIO AGUDELO;ALCALDÍA;95806;Educación - Vigencias futuras;Integrales;2024;3302-154;08 VILLA HERMOSA;Obra;En ejecución;16/07/2024;120;;17;137;29/11/2024;0,00; $ 1.124.492.597 ; $ - ;; $ 1.124.492.597 ; $ 45.479.091 ; $ 16.705.287 ;; $ 1.186.676.975 ; $ 27.947.999 ;;;; $ 27.947.999 ;16/08/2024;2,36%;72,00%; $ 854.407.422 ;48,00%; $ 569.604.948 ;-24,00%;77,00%;30,00%;-47,00%;JOSE GILMER TAMARA;ANGÉLICA MARÍA CORRALES;95806 DE 2022 EDUCACIÓN
INSTITUCIÓN EDUCATIVA CARLOS VIECO ORTÍZ;ALCALDÍA;95806;Educación - Vigencias futuras;Integrales;2024;3302-154;13 SAN JAVIER;Obra;En ejecución;16/07/2024;120;;17;137;29/11/2024;0,00; $ 1.121.651.784 ; $ - ;; $ 1.121.651.784 ; $ 45.364.197 ; $ 16.663.084 ;; $ 1.183.679.065 ; $ 66.932.888 ;;;; $ 66.932.888 ;16/08/2024;5,65%;81,00%; $ 958.780.042 ;56,00%; $ 662.860.276 ;-25,00%;86,00%;40,00%;-46,00%;JOSE GILMER TAMARA;ANGÉLICA MARÍA CORRALES;95806 DE 2022 EDUCACIÓN
JIBC LA HUERTA;ALCALDÍA;96269-2022;Buen comienzo;Grupo 4;2024;3302-156;60 SAN CRISTOBAL;Obra;En ejecución;09/07/2024;90;60;;90;06/10/2024;0,00; $ 548.779.723 ; $ 505.773.478 ;; $ 1.054.553.201 ;;;; $ 1.054.553.201 ; $ 417.129.604 ;;;; $ 417.129.604 ;31/10/2024;39,56%;79,00%; $ 833.097.029 ;76,00%; $ 801.460.433 ;-3,00%;80,00%;70,00%;-10,00%;JUAN ESTEBAN IDARRAGA;JHOANA GOMEZ ARANGO;96269 DE 2022 VF BUEN COMIENZO
JIBC PUERTA DEL SOL;ALCALDÍA;96269-2022;Buen comienzo;Grupo 4;2024;3302-156;60 SAN CRISTOBAL;Obra;En ejecución;09/07/2024;90;60;;90;06/10/2024;0,00; $ 520.617.470 ; $ 233.995.785 ;; $ 754.613.255 ;;;; $ 754.613.255 ; $ 103.963.398 ;;;; $ 103.963.398 ;31/10/2024;13,78%;74,00%; $ 558.413.809 ;54,00%; $ 407.491.158 ;-20,00%;45,00%;44,00%;-1,00%;JUAN ESTEBAN IDARRAGA;JHOANA GOMEZ ARANGO;96269 DE 2022 VF BUEN COMIENZO
JIBC LUSITANIA;ALCALDÍA;96269-2022;Buen comienzo;Grupo 4;2024;3302-156;60 SAN CRISTOBAL;Obra;En ejecución;09/07/2024;90;60;;90;06/10/2024;0,00; $ 637.602.806 ; $ 170.125.736 ;; $ 807.728.542 ;;;; $ 807.728.542 ; $ 207.128.985 ;;;; $ 207.128.985 ;31/10/2024;25,64%;78,00%; $ 630.028.263 ;82,00%; $ 662.337.404 ;4,00%;76,00%;72,00%;-4,00%;JUAN ESTEBAN IDARRAGA;JHOANA GOMEZ ARANGO;96269 DE 2022 VF BUEN COMIENZO
JIBC SAN ANTONIO DE PRADO;ALCALDÍA;96269-2022;Buen comienzo;Grupo 5;2024;3302-168;80 SAN ANTONIO DE PRADO;Obra;En ejecución;23/07/2024;120;;;120;19/11/2024;0,00; $ 666.948.752 ;;; $ 666.948.752 ;;;; $ 666.948.752 ;;;;; $ - ;;0,00%;67,00%; $ 446.855.664 ;59,00%; $ 393.499.764 ;-8,00%;55,30%;0,00%;-55,30%;JUAN ESTEBAN IDARRAGA;CAMILO VELÁSQUEZ SÁNCHEZ;96269 DE 2022 VF BUEN COMIENZO
JIBC NUEVO AMANECER;ALCALDÍA;96269-2022;Buen comienzo;Grupo 5;2024;3302-168;70 ALTAVISTA;Obra;En ejecución;23/07/2024;60;;;60;20/09/2024;0,00; $ 252.025.979 ;;; $ 252.025.979 ;;;; $ 252.025.979 ;;;;; $ - ;;0,00%;100,00%; $ 252.025.979 ;91,00%; $ 229.343.641 ;-9,00%;100,00%;0,00%;-100,00%;JUAN ESTEBAN IDARRAGA;CAMILO VELÁSQUEZ SÁNCHEZ;96269 DE 2022 VF BUEN COMIENZO
JIBC BELEN ALTAVISTA;ALCALDÍA;96269-2022;Buen comienzo;Grupo 5;2024;3302-168;70 ALTAVISTA;Obra;En ejecución;23/07/2024;90;;;90;20/10/2024;0,00; $ 553.458.354 ;;; $ 553.458.354 ;;;; $ 553.458.354 ;;;;; $ - ;;0,00%;100,00%; $ 553.458.354 ;74,00%; $ 409.559.182 ;-26,00%;100,00%;0,00%;-100,00%;JUAN ESTEBAN IDARRAGA;CAMILO VELÁSQUEZ SÁNCHEZ;96269 DE 2022 VF BUEN COMIENZO
JIBC LA COLINA;ALCALDÍA;96269-2022;Buen comienzo;Grupo 5;2024;3302-168;15 GUAYABAL;Obra;En ejecución;23/07/2024;90;;;90;20/10/2024;0,00; $ 544.932.176 ;;; $ 544.932.176 ;;;; $ 544.932.176 ;;;;; $ - ;;0,00%;100,00%; $ 544.932.176 ;77,00%; $ 419.597.776 ;-23,00%;86,00%;0,00%;-86,00%;JUAN ESTEBAN IDARRAGA;CAMILO VELÁSQUEZ SÁNCHEZ;96269 DE 2022 VF BUEN COMIENZO
JIBC DOCE DE OCTUBRE;ALCALDÍA;96269-2022;Buen comienzo;Grupo 5;2024;3302-168;60 SAN CRISTOBAL;Obra;En ejecución;23/07/2024;90;;;90;20/10/2024;0,00; $ 499.657.579 ;;; $ 499.657.579 ;;;; $ 499.657.579 ;;;;; $ - ;;0,00%;100,00%; $ 499.657.579 ;63,00%; $ 314.784.275 ;-37,00%;100,00%;0,00%;-100,00%;JUAN ESTEBAN IDARRAGA;CAMILO VELÁSQUEZ SÁNCHEZ;96269 DE 2022 VF BUEN COMIENZO
JIBC VERSALLES;ALCALDÍA;96269-2022;Buen comienzo;Grupo 5;2024;3302-168;03 MANRIQUE;Obra;En ejecución;23/07/2024;105;;;105;;; $ 782.723.137 ;;; $ 782.723.137 ;;;; $ 782.723.137 ;;;;; $ - ;;0,00%;79,00%; $ 618.351.278 ;68,00%; $ 532.251.733 ;-11,00%;79,98%;0,00%;-79,98%;JUAN ESTEBAN IDARRAGA;CAMILO VELÁSQUEZ SÁNCHEZ;96269 DE 2022 VF BUEN COMIENZO
INTERVENTORIA TECNICA PARA LA EJECUCIÓN DE OBRAS DE REPARACIONES LOCATIVAS EN EL ESTADIO ATANASIO GIRARDOT;ALCALDÍA;36527-2024;;;2024;3302-181;;Interventoría;En ejecución;05/07/2024;50;;;50;23/08/2024;0,00; $ 61.224.965 ;;; $ 61.224.965 ;;;; $ 61.224.965 ;;;;; $ - ;;0,00%;42,00%;2571448530,00%;42,00%;2571448530,00%;0,00%;;;0,00%;DIEGO FERNANDO DURÁN;JORGE ANDRÉS OSORIO AGUILAR;
INSTITUCION EDUCATIVA MAESTRO ARENAS BETANCUR;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-183;05 CASTILLA;Obra;En ejecución;30/08/2024;120;;;120;27/12/2024;25,00; $ 491.996.055 ;;; $ 491.996.055 ;;;; $ 491.996.055 ;;;;; $ - ;;0,00%;25,53%; $ 125.588.468 ;9,21%; $ 45.315.425 ;-16,32%;25,53%;9,21%;-16,32%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
INSTITUCION EDUCATIVA JULIO CESAR GARCIA;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-183;05 CASTILLA;Obra;En ejecución;30/08/2024;120;;;120;27/12/2024;25,00; $ 1.139.344.132 ;;; $ 1.139.344.132 ;;;; $ 1.139.344.132 ;;;;; $ - ;;0,00%;29,40%; $ 334.967.175 ;24,80%; $ 282.557.345 ;-4,60%;29,40%;24,80%;-4,60%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
INSTITUCION EDUCATIVA MAESTRO PEDRO NEL GOMEZ;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-183;05 CASTILLA;Obra;En ejecución;30/08/2024;120;;;120;27/12/2024;25,00; $ 614.515.943 ;;; $ 614.515.943 ;;;; $ 614.515.943 ;;;;; $ - ;;0,00%;35,00%; $ 0 ;32,50%; $ 199.717.681 ;-2,50%;35,00%;32,50%;-2,50%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
SECCION ESCUELA EDUARDO URIBE BOTERO;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-183;05 CASTILLA;Obra;En ejecución;30/08/2024;120;;;120;27/12/2024;25,00; $ 538.487.194 ;;; $ 538.487.194 ;;;; $ 538.487.194 ;;;;; $ - ;;0,00%;30,71%; $ 165.392.497 ;22,86%; $ 123.082.788 ;-7,86%;30,71%;22,86%;-7,86%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
SECCION ESCUELA ESTADO DE ISRAEL;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-183;05 CASTILLA;Obra;En ejecución;30/08/2024;120;;;120;27/12/2024;25,00; $ 670.800.089 ;;; $ 670.800.089 ;;;; $ 670.800.089 ;;;;; $ - ;;0,00%;34,64%; $ 232.384.316 ;23,57%; $ 158.117.167 ;-11,07%;34,64%;23,57%;-11,07%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
SECCION ESCUELA RICARDO URIBE ESCOBAR;ALCALDÍA;4600095806 DE 2022;Educación - Vigencias futuras;Generales;2024;3302-183;05 CASTILLA;Obra;En ejecución;30/08/2024;90;;;90;27/11/2024;0,00; $ 424.600.970 ;;; $ 424.600.970 ;;;; $ 424.600.970 ;;;;; $ - ;;0,00%;31,25%; $ 132.687.803 ;27,50%; $ 116.765.267 ;-3,75%;31,25%;27,50%;-3,75%;CLAUDIA ANDREA BORREGO GARCÍA;ADRIANA MILENA GUTIERREZ RAMIREZ;
SECRETARIA DE MOVILIDAD DE MEDELLIN CARIBE;ALCALDÍA;1149;Movilidad;Redes;2024;3302-186;05 CASTILLA;Obra;En ejecución;22/07/2024;150;;;150;18/12/2024;16,00; $ 2.922.811.920 ;;; $ 2.922.811.920 ;;;; $ 2.922.811.920 ; $ 959.781.848 ;;;; $ 959.781.848 ;;32,84%;77,00%; $ 2.250.565.178 ;83,00%; $ 2.425.933.894 ;6,00%;54,00%;50,40%;-3,60%;CLAUDIA ANDREA BORREGO GARCÍA;FERNANDO ALONSO MARTÍNEZ GALEANO;
